Team,Window_Start,Window_End,Count,Years_In_Window
Atlanta Hawks,1975,1976,2,"[1975, 1976]"
Brooklyn Nets,1977,1978,2,"[1977, 1978]"
Brooklyn Nets,1987,1988,2,"[1987, 1988]"
Brooklyn Nets,2016,2017,2,"[2016, 2017]"
Charlotte Hornets,2005,2006,2,"[2005, 2006]"
Charlotte Hornets,2012,2013,2,"[2012, 2013]"
Chicago Bulls,1999,2000,2,"[1999, 2000]"
Chicago Bulls,2001,2002,2,"[2001, 2002]"
Cleveland Cavaliers,1971,1972,2,"[1971, 1972]"
Cleveland Cavaliers,1982,1983,2,"[1982, 1983]"
Cleveland Cavaliers,1984,1986,2,"[1984, 1986]"
Cleveland Cavaliers,2011,2013,2,"[2011, 2013]"
Cleveland Cavaliers,2019,2020,2,"[2019, 2020]"
Dallas Mavericks,1992,1993,2,"[1992, 1993]"
Detroit Pistons,1964,1965,2,"[1964, 1965]"
Detroit Pistons,1966,1967,2,"[1966, 1967]"
Detroit Pistons,1979,1980,2,"[1979, 1980]"
Detroit Pistons,2021,2022,2,"[2021, 2022]"
Detroit Pistons,2023,2024,2,"[2023, 2024]"
Golden State Warriors,1963,1965,2,"[1963, 1965]"
Golden State Warriors,2000,2001,2,"[2000, 2001]"
Houston Rockets,1968,1970,2,"[1968, 1970]"
Houston Rockets,2021,2022,2,"[2021, 2022]"
Indiana Pacers,1983,1984,2,"[1983, 1984]"
Indiana Pacers,1985,1986,2,"[1985, 1986]"
Los Angeles Clippers,1971,1972,2,"[1971, 1972]"
Los Angeles Clippers,1977,1978,2,"[1977, 1978]"
Los Angeles Clippers,1987,1988,2,"[1987, 1988]"
Los Angeles Clippers,1998,1999,2,"[1998, 1999]"
Los Angeles Lakers,2016,2017,2,"[2016, 2017]"
Memphis Grizzlies,1996,1997,2,"[1996, 1997]"
Miami Heat,1989,1990,2,"[1989, 1990]"
Minnesota Timberwolves,1992,1993,2,"[1992, 1993]"
Minnesota Timberwolves,1994,1995,2,"[1994, 1995]"
Minnesota Timberwolves,2008,2010,2,"[2008, 2010]"
New York Knicks,1960,1961,2,"[1960, 1961]"
New York Knicks,1962,1963,2,"[1962, 1963]"
New York Knicks,1964,1965,2,"[1964, 1965]"
New York Knicks,1985,1986,2,"[1985, 1986]"
Oklahoma City Thunder,1968,1969,2,"[1968, 1969]"
Orlando Magic,1990,1992,2,"[1990, 1992]"
Orlando Magic,2013,2014,2,"[2013, 2014]"
Orlando Magic,2021,2022,2,"[2021, 2022]"
Philadelphia 76ers,1973,1974,2,"[1973, 1974]"
Philadelphia 76ers,2014,2015,2,"[2014, 2015]"
Phoenix Suns,2017,2018,2,"[2017, 2018]"
Portland Trail Blazers,1971,1972,2,"[1971, 1972]"
Portland Trail Blazers,1973,1974,2,"[1973, 1974]"
Sacramento Kings,1960,1961,2,"[1960, 1961]"
Sacramento Kings,2009,2010,2,"[2009, 2010]"
Toronto Raptors,1996,1998,2,"[1996, 1998]"
Utah Jazz,1979,1980,2,"[1979, 1980]"
Washington Wizards,1962,1963,2,"[1962, 1963]"
Washington Wizards,1967,1968,2,"[1967, 1968]"
Washington Wizards,1993,1995,2,"[1993, 1995]"
Washington Wizards,2024,2025,2,"[2024, 2025]"
